地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
北関東,栃木,日光市,人文,史跡,足尾銅山跡,B,歴史資源
南関東,埼玉,大宮市,人文,郷土景観,大宮盆栽村,B,歴史資源
東海,長野,中津川市,人文,集落・街,馬籠宿,B,現代資源
東海,長野,軽井沢町,人文,郷土景観,軽井沢の別荘地,B,歴史資源
北陸,岐阜,関市,人文,郷土景観,関の刃物,B,歴史資源
北陸,岐阜,郡上市,人文,郷土景観,郡上八幡の食品サンプル工房,B,歴史資源
九州,熊本,芦北町,人文,郷土景観,打瀬網漁,B,歴史資源
北海道,北海道,清水町,人文,庭園・公園,十勝千年の森,B,自然資源
東京,東京,葛飾区,人文,庭園・公園,水元公園,B,自然資源
北陸,石川,金沢市,人文,博物館・美術館,鈴木大拙館,B,現代資源
北関西,京都,京都市,人文,博物館・美術館,京都鉄道博物館,B,現代資源
九州,大分,大分市,人文,博物館・美術館,大分県立美術館,B,現代資源
東北,青森,青森市,人文,テーマ公園・テーマ施設,青森市文化観光交流施設　ねぶたの家　ワ・ラッセ,B,現代資源
東海,長野,小布施町,人文,博物館・美術館,信州小布施　北斎館,B,現代資源
中国,山口,長門市,人文,博物館・美術館,金子みすゞ記念館,B,現代資源
東海,山梨,富士河口湖町,人文,博物館・美術館,久保田一竹美術館,B,現代資源
九州,鹿児島,鹿児島市,人文,博物館・美術館,維新ふるさと館,B,現代資源
東北,岩手,八幡平市,人文,温泉,藤七温泉,B,自然資源
東北,宮城,白石市,人文,温泉,鎌先温泉,B,自然資源
東北,福島,会津若松市,人文,温泉,東山温泉,B,自然資源
北関東,栃木,那須塩原市,人文,温泉,板室温泉,B,自然資源
北陸,新潟,阿賀野市,人文,温泉,五頭温泉郷（村杉温泉、今板温泉、出湯温泉）,B,自然資源
北陸,富山,立山町,人文,温泉,立山地獄谷の温泉,B,自然資源
東海,山梨,山梨市,人文,温泉,ほったらかし温泉,B,自然資源
東海,長野,上田市,人文,温泉,鹿教湯温泉,B,自然資源
東海,静岡,下田市,人文,温泉,伊豆下田河内温泉,B,自然資源
南関西,奈良,天川村,人文,温泉,洞川温泉,B,自然資源
中国,島根,大田市,人文,温泉,温泉津温泉,B,自然資源
中国,岡山,鏡野町,人文,温泉,奥津温泉,B,自然資源
九州,大分,由布市,人文,温泉,湯平温泉,B,自然資源
北海道,北海道,弟子屈町,人文,温泉,屈斜路温泉,B,自然資源
東北,岩手,一関市,人文,温泉,須川温泉,B,自然資源
北陸,新潟,魚沼市,人文,温泉,栃尾又温泉,B,自然資源
北関西,京都,京都市,人文,神社・寺院・教会,河合神社,B,歴史資源
東北,岩手,奥州市,人文,年中行事（祭り・伝統行事）,黒石寺蘇民祭,B,歴史資源
東北,岩手,盛岡市,人文,年中行事（祭り・伝統行事）,樺火・舟ッコ流し,B,歴史資源
東北,秋田,能代市,人文,年中行事（祭り・伝統行事）,ねぶ流し,B,歴史資源
東北,秋田,湯沢市,人文,年中行事（祭り・伝統行事）,湯沢の七夕絵灯ろう,B,歴史資源
東北,秋田,湯沢市,人文,年中行事（祭り・伝統行事）,犬っこ祭り,B,歴史資源
東北,福島,須賀川市,人文,年中行事（祭り・伝統行事）,須賀川たいまつあかし,B,歴史資源
東北,福島,柳津町,人文,年中行事（祭り・伝統行事）,柳津七日堂裸参り,B,歴史資源
東北,福島,南会津町,人文,年中行事（祭り・伝統行事）,会津田島祇園祭り,B,歴史資源
東北,福島,福島市,人文,年中行事（祭り・伝統行事）,福島わらじ祭り,B,歴史資源
東京,東京,府中市,人文,年中行事（祭り・伝統行事）,府中くらやみ祭り,B,歴史資源
南関東,神奈川,横浜市,人文,年中行事（祭り・伝統行事）,横浜港祭り,B,歴史資源
北陸,新潟,新潟市,人文,年中行事（祭り・伝統行事）,白根大凧合戦,B,歴史資源
北陸,福井,勝山市,人文,年中行事（祭り・伝統行事）,勝山左義長まつり,B,歴史資源
南関西,三重,伊勢市,人文,年中行事（祭り・伝統行事）,伊勢佐八のかんこ踊り,B,歴史資源
北陸,岐阜,揖斐川町,人文,年中行事（祭り・伝統行事）,谷汲踊,B,歴史資源
東海,愛知,新城市,人文,年中行事（祭り・伝統行事）,大海放下おどり,B,歴史資源
東海,愛知,小牧市,人文,年中行事（祭り・伝統行事）,田県神社の豊年祈願祭,B,歴史資源
中国,兵庫,西宮市,人文,年中行事（祭り・伝統行事）,西宮の戎祭,B,歴史資源
中国,兵庫,新温泉町,人文,年中行事（祭り・伝統行事）,久谷ざんざか踊り,B,歴史資源
中国,兵庫,養父市,人文,年中行事（祭り・伝統行事）,大杉ざんざこ踊り,B,歴史資源
