地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
東北,青森,鶴田町,人文,建造物,鶴の舞橋,B,現代資源
北海道,北海道,美瑛町,自然,湖沼,白金　青い池,B,自然資源
北海道,北海道,函館市,自然,山岳,函館山,B,自然資源
東海,静岡,清水町,自然,自然現象,柿田川の湧水,B,自然資源
北海道,北海道,京極町,自然,自然現象,京極の噴出し,B,自然資源
東海,山梨,忍野村,自然,自然現象,忍野八海,B,自然資源
北関東,群馬,嬬恋村,自然,植物,浅間高原しゃくなげ園のシャクナゲ,B,自然資源
北海道,北海道,鹿部町,自然,自然現象,しかべ間歇泉公園,B,自然資源
北陸,富山,砺波市,人文,郷土景観,礪波平野のチューリップ,B,歴史資源
北陸,石川,白山市,自然,自然現象,岩間の墳泉塔群,B,自然資源
