,地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク
1785,九州,熊本,山鹿市,人文,年中行事（祭り・伝統行事）,山鹿灯篭祭り,B
1786,九州,熊本,熊本市,人文,年中行事（祭り・伝統行事）,藤崎宮大祭,B
1787,九州,大分,由布市,人文,芸能・興行・イベント,湯布院映画祭,B
1788,九州,大分,大分市,人文,年中行事（祭り・伝統行事）,鶴崎踊り,B
1789,九州,大分,姫島村,人文,年中行事（祭り・伝統行事）,キツネ踊り,B
1790,九州,大分,日田市,人文,年中行事（祭り・伝統行事）,日田祗園,B
1791,九州,宮崎,高千穂町,人文,年中行事（祭り・伝統行事）,高千穂夜神楽,A
1792,九州,宮崎,美郷町,人文,年中行事（祭り・伝統行事）,師走祭り,B
1793,九州,鹿児島,鹿児島市,人文,年中行事（祭り・伝統行事）,おはら祭り,B
1794,九州,鹿児島,曽於市,人文,年中行事（祭り・伝統行事）,弥五郎どん,B
1795,九州,沖縄,那覇市,人文,年中行事（祭り・伝統行事）,那覇大綱挽まつり,A
1796,九州,沖縄,石垣市,人文,年中行事（祭り・伝統行事）,八重山の豊年祭,A
1797,九州,沖縄,那覇市/沖縄市/浦添市/北谷町/宜野湾市/宜野座村/名護市/久米島町/石垣市,人文,芸能・興行・イベント,沖縄のプロ野球キャンプ地,B
1798,九州,沖縄,（全県）,人文,年中行事（祭り・伝統行事）,沖縄のエイサー,A
1799,九州,沖縄,糸満市,人文,年中行事（祭り・伝統行事）,糸満ハ―リ―,B
1800,九州,沖縄,与那原町,人文,年中行事（祭り・伝統行事）,与那原大綱引,B
1801,九州,沖縄,宮古島市,人文,年中行事（祭り・伝統行事）,宮古島のパーントゥ,B
1802,九州,沖縄,那覇市,人文,年中行事（祭り・伝統行事）,那覇のハーリー,B
1803,北海道,北海道,旭川市,人文,動植物園・水族館,旭川市旭山動物園,A
1804,北海道,北海道,札幌市,人文,動植物園・水族館,札幌市円山動物園,B
1805,北海道,北海道,小樽市,人文,動植物園・水族館,おたる水族館,B
1806,北海道,北海道,釧路市,人文,動植物園・水族館,釧路市丹頂鶴自然公園,B
1807,東北,宮城,仙台市,人文,動植物園・水族館,仙台うみの杜水族館,B
1808,東北,山形,鶴岡市,人文,動植物園・水族館,鶴岡市立加茂水族館,B
1809,東北,山形,村山市,人文,動植物園・水族館,東沢バラ公園,B
1810,東北,福島,いわき市,人文,動植物園・水族館,ふくしま海洋科学館（環境水族館アクアマリンふくしま）,B
1811,北関東,茨城,大洗町,人文,動植物園・水族館,アクアワールド茨城県大洗水族館,B
1812,北関東,茨城,石岡市,人文,動植物園・水族館,茨城県フラワーパーク,B
1813,北関東,栃木,足利市,人文,動植物園・水族館,あしかがフラワーパーク,B
1814,北関東,群馬,前橋市,人文,動植物園・水族館,ぐんまフラワーパーク,B
1815,北関東,群馬,富岡市,人文,動植物園・水族館,群馬サファリパーク,B
1816,南関東,埼玉,白岡市/宮代町,人文,動植物園・水族館,東武動物公園,B
1817,南関東,埼玉,川口市,人文,動植物園・水族館,川口市立グリーンセンター,B
1818,南関東,埼玉,秩父市,人文,テーマ公園・テーマ施設,秩父ミューズパーク,B
1819,南関東,千葉,鴨川市,人文,動植物園・水族館,鴨川シーワールド,B
1820,南関東,千葉,市原市,人文,動植物園・水族館,市原ぞうの国,B
1821,東京,東京,台東区,人文,動植物園・水族館,上野動物園,A
1822,東京,東京,文京区,人文,動植物園・水族館,小石川植物園,B
1823,東京,東京,日野市,人文,動植物園・水族館,多摩動物公園,B
1824,東京,東京,豊島区,人文,動植物園・水族館,サンシャイン水族館,B
1825,東京,東京,品川区,人文,動植物園・水族館,しながわ水族館,B
1826,東京,東京,江戸川区,人文,動植物園・水族館,東京都葛西臨海水族園,B
1827,東京,東京,調布市,人文,動植物園・水族館,東京都神代植物公園,B
1828,南関東,神奈川,横浜市,人文,動植物園・水族館,ズーラシア,B
1829,南関東,神奈川,横浜市,人文,動植物園・水族館,横浜・八景島シーパラダイス,B
1830,南関東,神奈川,三浦市,人文,動植物園・水族館,京急油壺マリンパーク,B
1831,南関東,神奈川,藤沢市,人文,動植物園・水族館,新江ノ島水族館,B
1832,南関東,神奈川,横浜市,人文,動植物園・水族館,横浜市立野毛山動物園,B
1833,北陸,石川,七尾市,人文,動植物園・水族館,のとじま臨海公園水族館,B
1834,東海,静岡,浜松市,人文,動植物園・水族館,はままつフラワーパーク,B
1835,東海,静岡,裾野市,人文,動植物園・水族館,富士サファリパーク,B
1836,東海,愛知,名古屋市,人文,動植物園・水族館,名古屋港水族館,B
1837,東海,愛知,犬山市,人文,動植物園・水族館,日本モンキーパーク,B
1838,東海,愛知,名古屋市,人文,動植物園・水族館,名古屋市東山動植物園,B
1839,南関西,三重,鳥羽市,人文,動植物園・水族館,鳥羽水族館,B
1840,北関西,京都,京都市,人文,動植物園・水族館,京都市動物園,B
1841,北関西,京都,京都市,人文,動植物園・水族館,京都府立植物園,B
1842,南関西,大阪,大阪市,人文,動植物園・水族館,海遊館,B
1843,南関西,大阪,大阪市,人文,動植物園・水族館,咲くやこの花館,B
1844,南関西,大阪,大阪市,人文,動植物園・水族館,大阪市立長居植物園,B
1845,南関西,大阪,大阪市,人文,動植物園・水族館,天王寺動物園,B
1846,中国,兵庫,淡路市,人文,動植物園・水族館,奇跡の星の植物館,B
1847,中国,兵庫,加西市,人文,動植物園・水族館,兵庫県立フラワーセンター,B
1848,中国,兵庫,神戸市,人文,動植物園・水族館,神戸市立フルーツ・フラワーパーク,B
1849,中国,兵庫,神戸市,人文,動植物園・水族館,神戸市立王子動物園,B
1850,中国,兵庫,神戸市,人文,動植物園・水族館,神戸市立須磨海浜水族園,B
1851,南関西,和歌山,白浜町,人文,動植物園・水族館,アドベンチャーワールド,B
1852,中国,鳥取,南部町,人文,動植物園・水族館,鳥取県立とっとり花回廊,B
1853,中国,広島,広島市,人文,動植物園・水族館,広島市安佐動物公園,B
1854,中国,山口,下関市,人文,動植物園・水族館,下関市立しものせき水族館「海響館」,B
1855,四国,愛媛,砥部町,人文,動植物園・水族館,愛媛県立とべ動物園,B
1856,四国,高知,高知市,人文,動植物園・水族館,牧野植物園,B
1857,九州,福岡,福岡市,人文,動植物園・水族館,マリンワールド海の中道,B
1858,九州,福岡,福岡市,人文,動植物園・水族館,福岡市動物園,B
1859,九州,長崎,長崎市,人文,動植物園・水族館,長崎ペンギン水族館,B
1860,九州,大分,大分市,人文,動植物園・水族館,大分マリーンパレス水族館「うみたまご」,B
1861,九州,大分,宇佐市,人文,動植物園・水族館,九州自然動物公園アフリカンサファリ,B
1862,九州,鹿児島,鹿児島市,人文,動植物園・水族館,いおワールドかごしま水族館,B
1863,九州,沖縄,本部町,人文,動植物園・水族館,沖縄美ら海水族館,A
1864,九州,沖縄,本部町,人文,動植物園・水族館,熱帯ドリ―ムセンタ―,B
1865,九州,沖縄,沖縄市,人文,動植物園・水族館,東南植物楽園,B
1866,九州,沖縄,うるま市,人文,動植物園・水族館,ビオスの丘,B
1867,中国,島根,安来市,人文,博物館・美術館,足立美術館,A
1868,北海道,北海道,網走市,人文,建造物,博物館網走監獄,B
1869,北海道,北海道,札幌市,人文,博物館・美術館,北海道立総合博物館,B
1870,北海道,北海道,旭川市,人文,博物館・美術館,三浦綾子記念文学館,B
1871,北海道,北海道,美唄市,人文,庭園・公園,アルテピアッツァ美唄,B
1872,東北,青森,十和田市,人文,博物館・美術館,十和田市現代美術館,B
1873,東北,青森,青森市,人文,博物館・美術館,棟方志功記念館,B
1874,東北,青森,青森市,人文,博物館・美術館,青森県立美術館,B
1875,東北,宮城,仙台市,人文,博物館・美術館,仙台市博物館,B
1876,東北,山形,酒田市,人文,博物館・美術館,本間美術館,B
1877,東北,山形,酒田市,人文,博物館・美術館,土門拳記念館,B
1878,北関東,茨城,つくば市,人文,博物館・美術館,筑波宇宙センター展示館,B
1879,北関東,茨城,坂東市,人文,博物館・美術館,ミュージアムパーク茨城県自然博物館,B
1880,北関東,茨城,笠間市,人文,博物館・美術館,笠間日動美術館,B
1881,北関東,茨城,水戸市,人文,博物館・美術館,水戸芸術館現代美術ギャラリー,B
1882,北関東,栃木,那珂川町,人文,博物館・美術館,那珂川町馬頭広重美術館,B
1883,北関東,栃木,宇都宮市,人文,博物館・美術館,宇都宮美術館,B
1884,南関東,埼玉,さいたま市,人文,博物館・美術館,鉄道博物館,A
1885,南関東,埼玉,東松山市,人文,博物館・美術館,原爆の図丸木美術館,B
1886,南関東,千葉,佐倉市,人文,博物館・美術館,国立歴史民俗博物館,A
1887,南関東,千葉,佐倉市,人文,博物館・美術館,DIC川村記念美術館,B
1888,東京,東京,台東区,人文,博物館・美術館,東京国立博物館,S
1889,東京,東京,台東区,人文,博物館・美術館,国立西洋美術館,A
1890,東京,東京,台東区,人文,博物館・美術館,国立科学博物館,A
1891,東京,東京,千代田区,人文,博物館・美術館,東京国立近代美術館,A
1892,東京,東京,港区,人文,博物館・美術館,根津美術館,A
1893,東京,東京,台東区,人文,博物館・美術館,上野の森美術館,B
1894,東京,東京,台東区,人文,博物館・美術館,東京芸術大学大学美術館,B
1895,東京,東京,台東区,人文,博物館・美術館,東京都美術館,B
1896,東京,東京,港区,人文,博物館・美術館,松岡美術館,B
1897,東京,東京,千代田区,人文,博物館・美術館,出光美術館,B
1898,東京,東京,文京区,人文,博物館・美術館,永青文庫,B
1899,東京,東京,江東区,人文,博物館・美術館,東京都現代美術館,B
1900,東京,東京,墨田区,人文,博物館・美術館,東京都江戸東京博物館,B
1901,東京,東京,中央区,人文,博物館・美術館,ブリジストン美術館,B
1902,東京,東京,目黒区,人文,博物館・美術館,日本民藝館,B
1903,東京,東京,渋谷区,人文,博物館・美術館,太田記念美術館,B
1904,東京,東京,千代田区,人文,博物館・美術館,宮内庁三の丸尚蔵館,B
1905,東京,東京,世田谷区,人文,博物館・美術館,五島美術館,B
1906,東京,東京,港区,人文,博物館・美術館,サントリー美術館,B
